;;OFERTA TOTAL (Bls);;;VENTA (Bls);;;DISPONIBLE (Bls);;;;;;
Variedad;Variedad_Calidad;Sin Curar;Curado;TOTAL OFERTA;Sin Curar;Curado;TOTAL VENTAS;Sin Curar;Curado;TOTAL DISPONIBLE;COMENTARIOS;;;
NEO 50T23;50T23;1.225; -   ;600;740; -   ;740;-140; -   ; AGOTADA ;;;;
NEO 70T25;70T25;2.029; -   ;380;380; -   ;380; -   ; -   ; AGOTADA ;;;;
DM Araucaria;Araucaria;6.155;30.005;5.345;1.596;4.253;5.849;857;-1.361; AGOTADA ;;;AVANCE VENTAS ;93,43%
BIO Arazá;Araza;6.214; -   ;2.938;1.442;1.504;2.946;1.496;-1.504; AGOTADA ;;;;
NS Baguette 610;Baguette 610;10.547; -   ;7.957;3.280;2.140;5.420;4.677;-2.140;2.537;;;DM;104,1
NS Baguette 620;Baguette 620;2.434; -   ;2.454;240;1.622;1.862;2.214;-1.622;592;;;BIO;93,6
NS Baguette 750;Baguette 750;4.338; -   ;1.336;852;486;1.338;-1.687;1.686; AGOTADA ;;;RAGT;66,5
NS Baguette 820;Baguette 820;3.525;4.715;4.355;207;4.204;4.411;1.988;-2.044; AGOTADA ;;;NEOGEN;114,3
RAGT Borsalino;Borsalino;7.004;725;5.141;892;3.259;4.151;4.249;-3.259;990;;;NIDERA;80,9
DM Casuarina;Casuarina;1.100; -   ;1.100;100;916;1.016;995;-911;108; AGOTADA ;;;
DM Catalpa;Catalpa;20.169; -   ;22.961;16.244;7.589;23.833;5.241;-6.113; AGOTADA ;;;;
BIO Laurel;Laurel;5.969; -   ;5.851;1.952;2.740;4.692;3.899;-2.740;1.159;;;;
BIO Parana;Parana;13.381; -   ;10.853; -   ;10.700;10.700;10.853;-10.700;153;;;;
DM Pehuén;Pehuén;5.656; -   ;5.477;4.880;750;5.630;597;-750; AGOTADA ;;;;
RAGT Quiriko;Quiriko;2.053; -   ;2.128; -   ;680;680;2.128;-680;1.448;;;;
BIO Timbo;Timbo;1.726; -   ;529; -   ;540;540;529;-540; AGOTADA ;;;;
Total;;93.526;35.445;79.405;32.805;41.382;74.187;37.896;-32.677;6.987;;;;
